local_site,DateTime,mmt_num,SM
MRS1,5/14/2018 6:00,1,0.1848
MRS1,5/14/2018 6:00,2,0.2109
MRS1,5/14/2018 6:00,3,0.0954
MRS1,5/14/2018 6:00,4,0.1826
MRS1,5/14/2018 6:00,5,0.2668
MRS1,5/14/2018 7:00,1,0.1826
MRS1,5/14/2018 7:00,2,0.2087
MRS1,5/14/2018 7:00,3,0.0947
MRS1,5/14/2018 7:00,4,0.1811
MRS1,5/14/2018 7:00,5,0.2661
MRS1,5/14/2018 8:00,1,0.1804
MRS1,5/14/2018 8:00,2,0.208
MRS1,5/14/2018 8:00,3,0.0947
MRS1,5/14/2018 8:00,4,0.1819
MRS1,5/14/2018 8:00,5,0.2625
MRS1,5/14/2018 9:00,1,0.1782
MRS1,5/14/2018 9:00,2,0.2073
MRS1,5/14/2018 9:00,3,0.0933
MRS1,5/14/2018 9:00,4,0.1811
MRS1,5/14/2018 9:00,5,0.2625
MRS1,5/14/2018 10:00,1,0.1768
MRS1,5/14/2018 10:00,2,0.2073
MRS1,5/14/2018 10:00,3,0.0925
MRS1,5/14/2018 10:00,4,0.1826
MRS1,5/14/2018 10:00,5,0.2625
MRS1,5/14/2018 11:00,1,0.1746
MRS1,5/14/2018 11:00,2,0.2058
MRS1,5/14/2018 11:00,3,0.0918
MRS1,5/14/2018 11:00,4,0.1819
MRS1,5/14/2018 11:00,5,0.2603
MRS1,5/14/2018 12:00,1,0.1732
MRS1,5/14/2018 12:00,2,0.2051
MRS1,5/14/2018 12:00,3,0.0904
MRS1,5/14/2018 12:00,4,0.1819
MRS1,5/14/2018 12:00,5,0.261
MRS1,5/14/2018 13:00,1,0.171
MRS1,5/14/2018 13:00,2,0.2102
MRS1,5/14/2018 13:00,3,0.0904
MRS1,5/14/2018 13:00,4,0.1811
MRS1,5/14/2018 13:00,5,0.2596
MRS1,5/14/2018 14:00,1,0.1702
MRS1,5/14/2018 14:00,2,0.2058
MRS1,5/14/2018 14:00,3,0.0889
MRS1,5/14/2018 14:00,4,0.1804
MRS1,5/14/2018 14:00,5,0.2589
MRS1,5/14/2018 15:00,1,0.1688
MRS1,5/14/2018 15:00,2,0.2037
